Id,A01,A02,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C01,C02,C03,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,E01,F01,F02,F03,F04,F05,F06,F07,F08
49,1.4773,-0.24011,1.96627,1.35885,0.0389003,0.647866,-0.00628882,-0.812312,-0.128317,1.02772,1.32873,1.24823,2.28573,0.0042206,0.0013667,-0.745846,0.000449156,1.4106,-0.778893,0.00854248,0.0638462,0.00241088,1.10499,-0.141784,-0.0222869,-0.456437,-0.210019,-0.227892,0.0571658,-0.0292332,0.15985,-0.0850941,0.182257,-0.0248375,-0.216311,-0.0110326,0.163625,0.0785747,-0.0367975,-0.0961473,0.468945,0.870636,0.867696,0.806303,0.307143,0.690615,0.201635,0.671762,0.337462,0,0,0,-2.33576,1.61634,1.51532
50,-0.965192,-0.569147,-0.442315,-0.9334,-0.005543095,-1.77326,0.292917,-0.498428,-1.33498,1.67825,1.62805,0.681341,-0.967935,-1.93139,0.0013667,-1.78217,0.000449156,0.391615,-0.348848,1.95948,0.003279085,0.361276,-0.28839,-0.133853,0.00732819,0.431776,0.183278,0.0555258,-0.0131416,0.0747626,-0.0312667,0.045551,-0.0872351,-0.0854287,0.0375108,0.0106696,0.0453787,-0.0688534,0.126978,0.0529937,-1.33279,0.988074,0.116051,0.618906,0.680661,0.721217,0.736016,0.950652,0.540311,0,0,0,-1.06182,-0.257027,-0.16004
51,1.21389,-0.35107,0.885564,1.07055,0.213404,0.777785,-2.3474,0.183687,0.192872,0.540096,-1.38349,-0.269625,1.81748,0.460622,-1.76896,-1.72771,0.000449156,0.432717,-2.06011,-0.696874,0.31972,-0.154167,0.639943,0.603572,2.37325,0.959645,-0.0136924,-0.0830302,-0.00854191,0.0187635,0.00846456,-0.111419,0.156148,0.038201,-0.222985,-0.0967136,0.0467036,-0.0121544,-0.00531528,-0.011989,0.0230118,0.797704,0.442634,0.941207,0.247787,0.980923,0.464131,0.221705,0.776937,0,0,0,-0.244852,0.2859,-0.519977
54,-1.94344,-1.97035,-0.253212,-0.879353,-0.005543095,-1.52754,-1.37636,1.0854,1.22767,1.98289,1.05015,0.399464,-1.8663,0.0042206,-1.77382,1.95912,0.646909,1.21748,-0.651074,-0.00990558,0.003279085,-0.113316,0.285262,0.673485,-0.827445,0.321008,-0.04533,-0.00587309,-0.0759251,0.0713577,0.0598413,-0.00253825,0.0739817,-0.114654,0.00949348,-0.00166583,0.101578,-0.00798453,0.0483744,-0.0112257,-0.8,0.479839,0.890176,0.0732504,0.305758,0.815498,0.850013,0.418275,0.180154,0,0,0,-1.94407,-0.0118939,0.380643
73,-0.472591,-0.582054,1.93392,2.03647,-0.005543095,-0.675142,-0.569972,0.76485,0.294438,-0.005902415,0.884824,0.6512,-0.558767,-0.811886,0.317363,-0.714546,0.964434,0.268528,-0.0810609,-0.77612,1.16761,0.215233,0.484206,2.33071e-05,1.01529,0.380802,-0.0741091,-0.0336511,0.0508931,0.0151723,0.0359414,0.00853897,0.0237991,0.0260409,0.0266324,-0.0245575,-0.000940264,0.0706739,-0.0826509,0.00512611,-0.280013,0.28424,0.896241,0.474992,0.327063,0.459593,0.542981,0.761023,0.091861,0,0,0,-2.15856,1.10739,0.802206
75,-0.013418,1.38567,-1.82731,-1.53938,1.60983,1.3164,0.626567,0.206867,-0.287197,-0.924641,-0.0006379705,2.065,0.00408214,-0.521223,1.29072,0.572474,0.700147,-1.12378,1.45248,0.597893,0.0894195,0.14779,0.00719943,0.772987,-1.12069,0.697191,0.0277922,0.0213341,0.0159817,0.1194,0.00488849,0.00172665,0.0306891,-0.0945513,-0.0852018,0.0200389,-0.00871475,-0.0350882,0.0529274,-0.0583972,-0.919126,0.552787,0.365856,0.396929,0.0564652,0.877154,0.182687,0.495632,0.594358,0,0,0,0.452334,1.12778,1.31286
76,-0.56683,0.329972,-0.416432,0.00822362,-0.918633,-1.3661,-0.610176,0.862183,-0.00529312,0.528511,0.927537,-1.27751,-0.325556,2.33391,0.0013667,-0.828323,0.000449156,-0.124888,-1.47487,-1.11222,-1.02183,-0.279846,0.605494,-0.109156,-0.885817,-1.34159,0.0658398,0.0944453,0.0109406,0.00872474,-0.0335517,0.0259624,-0.0445553,-0.00434764,0.00288866,0.00355985,-0.0190998,-0.0645307,0.124625,0.0229605,1.08028,0.0640498,0.326187,0.0297577,0.342772,0.848305,0.288109,0.69001,0.960842,0,0,0,-2.18044,-0.493554,0.126561
82,1.40362,-0.120404,1.28106,-0.110408,-1.23535,0.282037,-1.02163,-0.670987,-1.31762,-0.377481,0.551849,0.12113,-0.668824,-0.358235,0.0013667,-0.892866,0.000449156,0.575311,0.957653,-0.145046,1.05087,0.596952,1.06253,0.407616,0.965384,0.231583,-0.0827551,-0.121496,0.0519288,0.0718373,0.0555671,-0.17339,0.160096,-0.223331,-0.355827,-0.052629,0.138263,0.00194594,0.0963843,-0.109628,-0.380874,0.945031,0.247422,0.453573,0.197125,0.165285,0.43011,0.902242,0.802847,0,0,0,-1.1436,0.583574,-0.21823
84,-0.340161,0.0377179,0.252422,-1.00902,-1.08772,0.132349,-0.826472,-0.509658,-0.971281,0.130906,0.182728,0.396277,0.213188,0.0903351,0.513913,0.383793,0.000449156,0.00341673,0.419344,-0.621205,1.25295,-0.0894675,-1.19667,0.799867,0.250413,-0.695798,-0.00612727,0.0596384,0.0581036,0.0796426,0.0557534,0.0522954,0.105577,-0.16344,-0.109947,-0.0339184,-0.0693028,-0.0250283,0.0934281,-0.00845649,1.53794,0.619641,0.990316,0.885136,0.52653,0.496834,0.719363,0.410773,0.302837,0,0,0,-1.45385,0.508961,0.0987775
85,1.12682,-0.690601,0.426678,0.443993,0.65909,-0.621427,-0.448528,-0.51337,-1.02716,0.110574,-0.0006379705,-0.901491,0.150813,2.26874,2.1367,-0.830287,0.000449156,0.00341673,0.589509,0.955263,-1.50766,0.29148,-0.615085,-1.50362,-0.00933952,1.74888,-0.137034,-0.076393,0.0491678,0.0686341,0.178714,-0.0248887,0.207065,-0.0164997,-0.12453,-0.0684469,0.0930126,-0.0167554,-0.0413127,-0.0891972,0.0698812,0.273767,0.702524,0.198889,0.798047,0.793083,0.667856,0.381287,0.320391,0,0,0,0.194414,0.905131,-0.0513121
87,1.34079,0.95112,-0.890361,1.10379,-0.907867,0.133161,-1.14861,-0.233887,0.687245,0.276071,0.0482857,0.0393437,-0.93343,0.462025,-0.862756,-0.368842,0.000449156,1.13309,0.004272155,0.135294,0.53443,-1.90311,-0.61559,1.21719,-0.298781,0.523664,0.036296,-0.0509587,-0.0368519,-0.0608291,-0.00436473,-0.0150368,-0.0718161,-0.0832632,-0.0677865,-0.00483881,-0.010081,-0.0835661,0.0253053,0.00636048,-0.3,0.793741,0.306338,0.142889,0.0715844,0.934286,0.00451797,0.717491,0.451945,0,0,0,-1.54402,0.760635,1.02769
90,-0.0928367,0.520662,0.401726,0.489924,-1.08166,0.069869,-0.99573,1.65963,0.392511,-1.24542,-0.327827,0.211893,-0.0846921,-0.226816,-0.965962,-0.644667,0.000449156,1.43457,0.004272155,-1.99488,0.377612,-0.0969179,-1.19155,-0.292531,0.576531,0.963546,0.0114818,0.015984,0.14112,0.0147333,-0.0526967,0.0615906,-0.120834,-0.0164399,0.0359815,0.138984,-0.0269708,0.0332103,0.0958185,-0.0530287,2.84646,0.0464595,0.264435,0.577321,0.331232,0.406909,0.267267,0.619823,0.630197,0,0,0,-1.516,0.534433,-1.25377
97,0.57714,0.940746,-0.883268,-1.60047,0.417681,0.558743,0.295213,0.222994,-0.0708647,0.259108,-0.944628,-0.0423047,-0.967778,0.571201,1.76109,-0.190195,0.000449156,0.252164,-0.223915,-0.0883441,1.60125,0.00241088,-0.234585,0.44377,0.242783,0.2974,-0.0258822,0.0479206,-0.0662227,0.01408,-0.0385524,-0.0656111,0.0956718,-0.0967877,-0.0620186,-0.0694299,-0.0230899,-0.0522012,0.0401856,-0.0178527,-1.2256,0.47976,0.72492,0.237937,0.0340025,0.891311,0.0315542,0.505369,0.938616,0,0,0,-0.383118,0.826964,0.780991
98,0.635089,1.78507,0.754376,-1.14527,-1.15227,-0.00405441,-0.800307,4.10711,0.189846,1.32822,-0.0006379705,-0.000462024,0.00408214,0.483428,2.50203,-0.517895,0.000449156,-1.08976,0.993436,-1.03224,-0.559023,-0.385404,-1.83429,2.33071e-05,-1.33654,0.579854,0.193436,0.166486,-0.0834681,0.127496,-0.0214734,-0.109594,0.118756,-0.342981,-0.272062,-0.0127332,0.0165321,-0.21079,0.198215,-0.100686,-1.3,0.648971,0.453669,0.960919,0.599166,0.0650696,0.933414,0.0407225,0.68523,0,0,0,-1.39313,-1.07499,1.3041
102,-1.59498,-1.48171,-0.963783,0.529203,0.106307,1.62592,1.16478,0.612887,-0.379762,1.12429,0.946034,0.737466,0.351223,-0.267229,0.584333,0.107141,0.700607,1.67744,1.23625,1.22287,1.10328,0.1151,-0.0278941,-0.569058,0.939516,-0.0827107,0.0500059,0.0642211,0.0731261,0.00400288,-0.00582322,0.000967371,-0.0680304,-0.0681315,0.0108521,-0.0346396,0.0175752,-0.013833,-0.026216,0.0141365,0.9,0.729041,0.366011,0.202462,0.582338,0.000534017,0.893016,0.947684,0.588043,0,0,0,-2.19085,-1.35337,-0.160548
110,1.15661,0.302859,-0.00728943,-0.521137,-0.005543095,-0.577683,1.34941,-0.00132395,-1.03804,-0.196142,-0.787152,-0.613714,-1.15688,0.388587,0.219324,1.13315,0.000449156,-0.145993,-0.587725,0.191638,-1.74021,-0.337762,-1.06045,0.433413,-0.238291,0.788196,-0.169033,-0.185889,0.0180357,0.0268283,0.119299,-0.107264,0.0887818,0.127235,-0.0983572,-0.00947713,0.12626,0.0984106,-0.0351035,-0.0788992,0.457014,0.734535,0.592013,0.30475,0.396709,0.853734,0.770485,0.694042,0.218649,0,0,0,-0.107156,0.123018,-0.889317
113,-0.50178,0.226545,-1.59362,-1.94048,-0.620986,-1.08403,1.40353,-0.259166,-0.00529312,1.07836,-1.17849,-1.54486,0.103746,-1.50336,0.0013667,0.00164122,0.000449156,1.18749,-1.00372,0.21306,0.945554,1.12259,1.48384,-0.199244,0.426357,-0.574503,0.0567183,-0.0316881,0.013748,0.0825503,0.12594,0.029589,0.113096,-0.0601057,-0.114859,-0.0593535,0.0449357,-0.0382577,0.00957498,0.0190671,0.4,0.918635,0.527837,0.623362,0.956364,0.951602,0.180835,0.812052,0.0803203,0,0,0,-0.139323,-1.61459,-0.937695
115,1.52804,0.92539,-0.00728943,-0.00751254,0.518266,2.28454,2.22298,-0.0237902,0.55511,0.715747,0.0636976,-0.305146,-0.384869,0.976879,0.302912,-1.15008,0.000449156,0.936316,0.321307,-0.98491,-0.146025,-0.429537,-0.45918,0.780212,0.694298,-0.833615,-0.186079,-0.023737,0.00561576,0.152384,0.121377,-0.0750733,0.189695,-0.258471,-0.192435,0.0423204,0.0371768,-0.120851,0.0637498,-0.151656,-0.852254,0.187923,0.924349,0.441261,0.287196,0.258789,0.208706,0.96115,0.611769,0,0,0,-0.562078,-1.44449,1.3159
118,-0.360465,0.413413,1.06748,0.947133,-0.005543095,-0.812596,-0.248467,-0.00132395,1.32427,-0.342424,2.85685,0.737126,0.512067,0.807813,0.891311,-0.998822,0.000449156,0.493784,1.3904,0.00854248,2.27633,1.25177,-0.818728,0.328552,-0.83647,-0.333787,0.0260112,0.0468041,-0.119736,0.00560253,-0.0275037,0.0627408,-0.0726284,-0.063144,-0.133061,0.0689796,0.0495341,-0.218221,0.145163,0.0144195,-0.0171838,0.722812,0.538296,0.391197,0.699176,0.0578061,0.485709,0.485664,0.0687469,0,0,0,-1.47811,0.263113,1.85709
120,-1.44819,-1.2075,-0.00728943,1.3067,-0.244404,0.798461,-0.261121,-2.43796,-1.95442,-0.392153,0.154008,0.805774,-0.187763,0.0042206,0.0013667,0.00164122,1.53463,-0.502996,1.76326,-1.21752,0.003279085,1.7796,0.635192,-0.791845,-0.578225,-0.0211806,0.159371,0.0269978,-0.0829176,0.0907712,0.0737464,0.020405,-0.0534852,-0.0213405,0.021637,-0.0149955,0.0938016,-0.106881,0.0368841,-0.0500883,-0.028441,0.899854,0.441641,0.448806,0.418883,0.158682,0.805118,0.807287,0.719766,0,0,0,0.0375901,-0.807768,1.64741
128,-0.485509,-0.528498,0.349462,0.371249,-0.709781,1.10231,-0.308866,-0.00132395,-0.427444,2.29157,-0.650408,0.917559,-4.18863,-1.22522,-1.46247,-0.317972,0.000449156,0.482606,0.0832859,-1.02392,1.10846,0.676596,0.348913,-0.105453,0.52308,-1.22864,-0.0228113,-0.00327608,0.0469029,0.0161526,-0.0271921,-0.118187,0.112739,-0.0481726,0.0446181,0.050843,0.029417,-0.0233554,-0.0179367,-0.0390915,1.47169,0.297566,0.324717,0.35107,0.524877,0.579568,0.718472,0.168973,0.968612,0,0,0,-1.43794,-0.317896,-1.32405
129,0.308835,0.508062,0.84545,0.466165,-0.005543095,0.723018,0.0823541,0.114929,2.48111,-0.395673,2.47571,-0.371291,-0.905292,-1.61526,-1.50374,-0.533445,0.000449156,-1.96442,1.06297,1.73834,-1.64776,0.00241088,1.52819,0.837412,0.476052,0.147367,-0.0240596,-0.0474163,0.0476727,-0.0151477,0.0602363,-0.0921044,0.0997157,-0.176795,-0.101496,0.0472192,0.0414102,-0.0379919,-0.0207242,-0.114423,-1.77473,0.93936,0.0474543,0.877164,0.422857,0.893798,0.241741,0.901191,0.154836,0,0,0,-2.03709,0.0939091,1.08028
134,1.14319,-1.17053,-0.00728943,0.717345,-3.63944,1.35571,-0.00628882,1.48103,2.03885,0.507532,1.1594,0.282356,-0.0320422,-0.802541,1.91091,-0.292652,0.000449156,0.277877,-2.30551,-0.919451,1.26193,-1.48563,0.056143,0.354194,-1.49152,0.225509,0.0169311,-0.0956016,0.0612058,0.0102795,0.0280661,0.0528849,0.146299,-0.15163,-0.121382,-0.00442822,-0.00727187,-0.0662996,-0.0246799,-0.0562878,1.13778,0.819854,0.627001,0.154413,0.410178,0.846024,0.0520652,0.913304,0.642858,0,0,0,-0.681303,0.967338,-1.82306
137,0.0750512,-0.0001359535,-0.704819,-1.18205,-0.891354,0.964279,0.292527,0.406849,-1.49817,0.285607,-0.0006379705,1.13593,0.00408214,-0.769562,1.17973,1.35433,0.000449156,0.431128,0.459818,0.703272,-1.09698,-1.58863,-0.88375,-1.0878,0.653798,0.798162,0.0262635,-0.0678887,0.0571481,0.0294247,-0.0132469,-0.0374657,0.0289043,-0.0790843,-0.0703592,0.0255765,0.00760819,-0.105941,-0.00372873,0.0244374,-0.992833,0.554999,0.517732,0.505683,0.546019,0.56349,0.243947,0.32677,0.334829,0,0,0,-2.35053,-0.767139,-0.391333
141,0.58258,0.595979,-0.00728943,-0.00751254,-0.192832,-0.136645,2.13622,0.355963,-0.00529312,0.527275,0.604248,0.623535,0.709385,0.178216,-1.71194,-0.61286,0.000449156,-0.102284,0.0834219,0.518223,-0.142242,-0.188605,0.277584,-0.482141,0.935828,-0.238684,0.00456485,-0.0153722,-0.0225289,0.0432998,0.0742363,-0.0386715,-0.0313866,-0.200547,-0.16689,0.00971887,0.0736856,-0.118407,0.0230923,-0.0524741,0.9,0.908375,0.617718,0.0747552,0.0679774,0.890343,0.549834,0.433607,0.0696359,0,0,0,-1.30156,-1.20562,0.671807
146,-0.122051,-0.181205,-1.22008,-0.19368,1.59105,-0.766228,-0.338732,0.807274,0.369168,-1.32018,0.955207,-1.08956,0.963975,0.00777902,1.24892,0.98876,0.000449156,-1.30957,0.0947175,-0.426008,-1.78733,-0.223473,0.217208,-1.96467,-1.31997,-0.191897,0.0148268,0.0493658,-0.0385715,0.0412452,0.0738739,-0.0636071,0.0731752,-0.00987659,-0.0516231,0.0315655,-0.0252082,-0.0093418,0.0233388,0.0587435,-0.751424,0.0209858,0.452325,0.961318,0.468634,0.459085,0.528327,0.977495,0.47292,0,0,0,-0.340777,0.0907512,-0.678235
157,-0.51123,0.758648,-1.40633,-0.692589,0.0438555,1.44583,0.521851,0.9056,1.13735,-1.74456,-0.978879,0.161797,-1.23558,0.874309,0.186628,0.289422,0.000449156,-0.688618,1.71796,-0.521287,0.003279085,-0.797033,0.00719943,-1.14882,0.517935,0.267328,0.175241,0.050782,0.0377167,0.0566273,0.0411855,-0.0772636,-0.0247906,-0.14051,-0.104145,-0.00315288,0.0160249,-0.0364223,0.0505265,-0.0280906,1.03134,0.905876,0.381399,0.150742,0.401858,0.729432,0.00696425,0.950346,0.97343,0,0,0,-0.633565,-1.38299,0.799651
163,2.04386,-0.205126,-0.174705,-1.09136,-0.005543095,-1.01952,-0.285257,-0.220762,-0.00529312,0.447547,-0.602457,-0.000462024,-0.0121924,-1.1504,0.964804,-0.505833,0.000449156,0.395784,0.0974675,0.00854248,1.14307,-1.02148,0.843702,0.592763,0.83185,0.549762,-0.389767,-0.374828,0.130945,0.0991308,0.214156,-0.110832,0.221983,-0.014006,-0.342736,-0.0653051,0.225026,0.0124723,0.06113,-0.069316,0.200052,0.512405,0.403127,0.568264,0.136655,0.777672,0.536878,0.729928,0.0776097,0,0,0,-1.01574,0.51293,-0.0187599
165,-2.43899,-2.47908,-1.09495,0.41801,1.29263,2.75574,-1.15808,-0.175998,0.668085,0.530469,-0.182545,1.25674,0.00408214,0.0042206,-0.520033,-0.257793,0.957706,0.619999,0.441993,0.470522,0.003279085,0.00241088,0.907643,2.33071e-05,-0.223676,0.368725,-0.0356578,-0.232111,0.0332362,-0.00231373,0.00980986,-0.0341345,0.211376,-0.0299225,-0.252685,-0.0335908,0.011819,0.00258279,0.0294327,-0.0485258,0.743486,0.289057,0.466192,0.0206806,0.837483,0.143002,0.396732,0.926298,0.645325,0,0,0,-1.31858,-1.28022,0.932001
173,-0.2447,0.100318,-0.933406,2.27132,-0.461932,0.48178,-0.00628882,0.58704,2.0879,-0.751964,-0.00302891,0.0444344,1.24621,0.663639,-1.40302,-0.656635,0.947324,0.338675,1.72207,-0.25955,0.391846,0.403991,0.00719943,0.00831608,0.537453,1.0408,0.0228528,-0.0158433,-0.0441583,0.0628884,-0.121023,0.00102057,0.0237659,-0.0589537,-0.0949588,-0.001886,0.00962915,0.0122226,0.0108578,-0.0579594,0.5,0.373618,0.326744,0.753918,0.980405,0.921942,0.970394,0.986097,0.168167,0,0,0,-1.38623,-1.16679,-0.423136
178,-0.167285,-0.357616,0.887186,-2.47205,-0.407999,0.928623,-0.331225,-0.153577,-0.00529312,1.83224,-0.0006379705,0.174248,0.503809,-0.191691,-1.05738,0.00164122,0.000449156,0.690242,-1.89213,-0.114857,-0.582773,-0.780116,-0.11299,2.33071e-05,0.595253,-1.36802,-0.0578009,0.00611999,-0.0190048,-0.0068216,0.0946158,-0.00255805,0.0234014,-0.144221,-0.0292898,-0.0341772,-0.00344935,-0.019163,-0.0688362,-0.0496447,-0.275346,0.394831,0.889107,0.994584,0.866726,0.00821796,0.265301,0.715339,0.607867,0,0,0,0.475281,-0.240421,0.716529
182,-0.531545,-0.172211,-0.529511,-0.00751254,-1.36806,-0.884938,0.521621,0.9348,0.850872,0.722856,-0.0694132,0.382156,-1.5388,-0.124061,-0.918325,-0.385739,0.370222,0.542019,-0.379737,-0.408547,0.115437,-0.191944,0.355622,1.52915,0.38631,-0.634642,0.027373,-0.030033,0.0287051,0.0516098,0.0214343,-0.0313326,0.15604,-0.0393626,-0.00243558,-0.076416,-0.0444065,0.0111224,-0.0143671,0.0440786,-1.1346,0.627145,0.495584,0.572411,0.328933,0.758768,0.444554,0.620205,0.664458,0,0,0,-1.36653,-0.331689,-0.795697
184,1.43895,-0.624794,-0.00728943,2.05079,-0.42984,-0.534118,-1.86504,-0.928425,0.495996,-0.579086,1.14523,0.201897,0.00408214,0.912865,-0.444027,0.274354,0.457118,0.00341673,0.004272155,-1.99662,2.26187,-0.390073,-1.70364,0.378568,1.39461,0.375255,-0.13462,-0.079353,0.09589,0.0691858,0.131653,-0.164815,0.30179,-0.115796,-0.212421,-0.059204,0.132932,-0.0202025,0.0102155,-0.120623,-1.13116,0.817591,0.584745,0.995542,0.249125,0.0316979,0.313939,0.749066,0.891023,0,0,0,-1.87648,0.214638,1.64648
185,-0.00860499,1.39497,-0.459124,1.4744,-2.03202,0.644453,0.22317,0.806175,-0.465773,-0.397129,0.249625,-0.000462024,0.00408214,0.0042206,-0.433855,-2.16929,0.000449156,-0.996546,-0.952645,0.00854248,0.776318,-1.24411,0.534253,-1.23525,1.4277,2.19028,0.167213,0.0764222,-0.065649,0.07241,0.0650665,0.0670046,0.0374645,-0.142964,-0.22835,0.0139775,0.00683983,-0.144448,0.0857563,-0.119103,1.2371,0.222259,0.422347,0.0996172,0.984876,0.827365,0.957045,0.7368,0.421663,0,0,0,-0.836901,-1.29209,-0.171048
